LeftAt,ArrivedAt,VMT
0.02,0.03,90.44661
0.01,0.05,62.22799
0.01,0.05,47.2673
0.03,0.05,47.2673
0.04,0.07,175.9046
0.04,0.08,175.9046
0.06,0.09,171.8018
0.05,0.09,256.6677
0.07,0.1,171.8018
0.09,0.1,62.22799
0.08,0.11,144.629
0.07,0.12,354.6991
0.15,0.18,144.629
0.17,0.18,90.44661
0.1,0.2,171.8018
0.12,0.2,47.2673
0.13,0.2,86.27438
0.18,0.21,61.16605
0.14,0.21,196.0857
0.2,0.21,90.44661
0.19,0.22,144.629
0.21,0.22,62.22799
0.11,0.23,354.6991
0.12,0.24,354.6991
0.16,0.24,354.6991
0.22,0.24,126.734
0.23,0.25,86.27438
0.25,0.26,47.2673
0.24,0.27,144.629
0.29,0.35,62.22799
0.32,0.35,144.629
0.3,0.35,62.22799
0.33,0.35,62.22799
0.26,0.35,86.27438
0.28,0.35,47.2673
0.31,0.36,86.00407
0.27,0.36,133.9884
0.34,0.37,171.8018
0.35,0.38,144.629
0.37,0.38,90.44661
0.36,0.39,171.8018
0.39,0.4,62.22799
0.38,0.4,86.27438
0.4,0.49,86.27438
0.43,0.5,62.22799
0.42,0.5,50.05288
0.48,0.5,62.22799
0.41,0.5,133.9884
0.49,0.5,62.22799
0.46,0.5,306.0055
0.44,0.5,86.27438
0.45,0.51,86.00407
0.5,0.51,47.2673
0.47,0.51,86.00407
0.51,0.53,126.734
0.52,0.55,171.8018
0.54,0.55,62.22799
0.53,0.56,144.629
0.55,0.56,90.44661
0.56,0.59,144.629
1.01,1.02,90.44661
0.57,1.05,62.22799
1,1.05,62.22799
1.04,1.05,62.22799
1.03,1.05,47.2673
0.58,1.06,86.27438
0.59,1.06,171.8018
1.02,1.07,133.9884
1.06,1.07,62.22799
1.05,1.08,144.629
1.07,1.09,86.27438
1.08,1.09,90.44661
1.1,1.11,50.05288
1.09,1.11,86.27438
1.11,1.12,90.44661
1.17,1.2,62.22799
1.16,1.2,306.0055
1.13,1.21,86.27438
1.12,1.21,86.00407
1.14,1.21,171.8018
1.19,1.21,86.00407
1.18,1.22,133.9884
1.2,1.22,86.27438
1.15,1.22,153.9947
1.21,1.22,90.87161
1.22,1.23,90.44661
1.23,1.24,47.2673
1.24,1.25,90.44661
1.25,1.26,62.22799
1.26,1.27,90.44661
1.3,1.31,90.44661
1.29,1.32,144.629
1.31,1.34,144.629
1.27,1.35,62.22799
1.32,1.36,86.27438
1.35,1.36,62.22799
1.33,1.36,171.8018
1.34,1.37,171.8018
1.36,1.37,62.22799
1.28,1.38,354.6991
1.37,1.39,86.27438
1.38,1.41,171.8018
1.4,1.41,47.2673
1.39,1.41,133.9884
1.41,1.42,50.05288
1.43,1.46,144.629
1.47,1.5,62.22799
1.49,1.5,62.22799
