NodeId,X,Y,Z,TotalTraffic
IWYUXTY,-163.4915,1.6,112.6382,1
JLDWHXF,-169.0822,1.6,104.9423,1
ZPJGWKF,-186.4143,1.6,119.6723,1
LIUKSCK,-193.6728,1.6,91.46121,7
WWESYOQ,-146.2358,1.6,67.70163,2161
ESRVTXE,-186.1,1.6,86.8,4415
AOSXRTG,-173.2726,1.6,72.16554,242
XYXWDLX,-184.3179,1.6,66.66882,77
PSDYZXX,-179.7492,1.6,75.37012,351
PFYCYAX,-189.127,1.6,71.75978,63
HTSAVHD,-190.0343,1.6,65.90251,65
NSBJTPN,-189.0983,1.6,78.42045,377
WPKPSWL,-182.2668,1.6,64.07648,32
MAENBSV,-170.5582,1.6,44.09447,28
CPZCAXV,-170.219,1.6,47.62299,31
YRMNIGB,-168.3556,1.6,48.23586,156
GVZJJTE,-175.2,1.6,45.66145,4
WMLIDGR,-187.94,1.6,47.63519,35
ECGTOIH,-186.4733,1.6,54.51682,58
HTCWMWC,-191.3219,1.6,56.13321,49
POJBMUQ,-190.9785,1.6,59.46671,49
KLMXELU,-186.5248,1.6,58.82931,54
FMSRRSC,-177.7455,1.6,58.59216,56
QENYOIY,-168.1045,1.6,59.34666,190
EWRZATF,-171.2979,1.6,31.00301,47
ZUTEXGH,-194.2765,1.6,44.70448,17
SZQCQED,-177.8473,1.6,44.30098,30
NSUKKNC,-177.5918,1.6,38.65805,58
MMWNAUH,-168.6754,1.6,40.48822,17
NJWAPOH,-168.4258,1.6,43.95351,145
PWVPESG,-193.8126,1.6,37.59158,7
NPEOOPV,-192.7507,1.6,23.08235,1
YMCZDAS,-192.5861,1.6,14.19859,1
MRQKZSZ,-180.7054,1.6,13.39986,5
GVYPFDM,-179.2234,1.6,9.184212,5
KQOVPPL,-183.7514,1.6,14.37711,7
XUHJJKA,-183.8687,1.6,23.70589,5
CHQDFCZ,-177.0315,1.6,23.71176,38
OBAVUZP,-168.1333,1.6,21.9591,20
YRQUEVJ,-164.5601,1.6,21.69069,83
ZLKHMPX,-166.1699,1.6,4.777016,339
LKKCFIA,-168.6311,1.6,14.98194,7
PZOOUDY,-169.0954,1.6,10.55697,3
QLWVBEV,-169.71,1.6,5.128143,237
IBERVIX,-173.9214,1.6,11.14001,11
YIJMDVK,-173.5599,1.6,14.43196,11
EUWUYWR,-174.0271,1.6,17.89307,5
PWRTSWL,-173.9581,1.6,23.23268,16
PRGNVHO,-175.8658,1.6,7.218246,225
ROMKHEO,-163.1226,1.6,3.642059,748
DBXMXKR,-161.3187,1.6,22.17978,555
TNOAMEO,-113.6363,1.6,-0.5285721,2208
IDLUCWW,-128.196,1.6,13.19556,9
DIYDMIO,-124.4586,1.6,7.137093,1811
PWFOOSS,-132.1208,1.6,18.23459,184
BRINTMO,-142.4053,1.6,43.74154,4001
QSGNEDK,-144.6402,1.6,36.94585,947
HXFLYJN,-150.444,1.6,48.54097,14048
VVAHBID,-152.1613,1.6,45.88387,1307
KVRMEYE,-159.0866,1.6,42.96664,438
