Time,Vehicles
0,22
0.01,12
0.02,17
0.03,6
0.04,9
0.05,11
0.06,7
0.07,6
0.08,3
0.09,2
0.1,0
0.11,1
0.12,5
0.13,2
0.14,2
0.15,2
0.16,2
0.17,3
0.18,0
0.19,5
0.2,0
0.21,2
0.22,2
0.23,0
0.24,1
0.25,1
0.26,0
0.27,1
0.28,2
0.29,2
0.3,2
0.31,2
0.32,2
0.33,2
0.34,6
0.35,2
0.36,1
0.37,1
0.38,0
0.39,2
0.4,1
0.41,3
0.42,2
0.43,2
0.44,2
0.45,2
0.46,2
0.47,2
0.48,2
0.49,1
0.5,0
0.51,2
0.52,4
0.53,0
0.54,4
0.55,1
0.56,0
0.57,3
0.58,2
0.59,1
1,3
1.01,2
1.02,1
1.03,2
1.04,2
1.05,1
1.06,2
1.07,3
1.08,0
1.09,0
1.1,4
1.11,0
1.12,1
1.13,2
1.14,2
1.15,2
1.16,2
1.17,2
1.18,2
1.19,6
1.2,0
1.21,0
1.22,2
1.23,2
1.24,1
1.25,1
1.26,1
1.27,1
1.28,2
1.29,2
1.3,3
1.31,0
1.32,0
1.33,2
1.34,4
1.35,1
1.36,2
1.37,2
1.38,1
1.39,0
1.4,2
1.41,1
1.42,1
1.43,2
1.44,2
1.45,2
1.46,0
1.47,3
1.48,2
1.49,3
1.5,1
1.51,0
1.52,5
1.53,3
1.54,0
1.55,2
1.56,0
1.57,2
1.58,1
1.59,2
2,1
2.01,1
2.02,2
2.03,4
2.04,8
2.05,0
2.06,2
2.07,2
2.08,3
2.09,7
2.1,5
2.11,1
2.12,1
2.13,0
2.14,2
2.15,0
2.16,2
2.17,4
2.18,4
2.19,3
2.2,2
2.21,6
2.22,0
2.23,7
2.24,1
2.25,2
2.26,2
2.27,2
2.28,2
2.29,2
2.3,0
2.31,2
2.32,2
2.33,3
2.34,8
2.35,1
2.36,2
2.37,1
2.38,3
2.39,6
2.4,0
2.41,1
2.42,1
2.43,2
2.44,2
2.45,2
2.46,0
2.47,1
2.48,2
2.49,10
2.5,9
2.51,0
2.52,1
2.53,0
2.54,4
2.55,2
2.56,4
2.57,0
2.58,4
2.59,0
3,2
3.01,2
3.02,4
3.03,3
3.04,4
3.05,4
3.06,2
3.07,2
3.08,0
3.09,2
3.1,4
3.11,0
3.12,3
3.13,2
3.14,2
3.15,2
3.16,0
3.17,1
3.18,2
3.19,5
3.2,4
3.21,3
3.22,0
3.23,7
3.24,0
3.25,6
3.26,2
3.27,1
3.28,0
3.29,2
3.3,2
3.31,6
3.32,2
3.33,4
3.34,3
3.35,0
3.36,6
3.37,1
3.38,1
3.39,1
3.4,5
3.41,1
3.42,2
3.43,1
3.44,2
3.45,2
3.46,2
3.47,2
3.48,3
3.49,6
3.5,3
3.51,0
3.52,1
3.53,3
3.54,2
3.55,4
3.56,2
3.57,3
3.58,1
3.59,4
4,3
4.01,2
4.02,2
4.03,2
4.04,3
4.05,4
4.06,3
4.07,1
4.08,1
4.09,0
4.1,3
4.11,3
4.12,2
4.13,2
4.14,4
4.15,2
4.16,0
4.17,0
4.18,2
4.19,6
4.2,2
4.21,3
4.22,5
4.23,0
4.24,4
4.25,1
4.26,2
4.27,0
4.28,2
4.29,2
4.3,4
4.31,2
4.32,2
4.33,0
4.34,7
4.35,2
4.36,5
4.37,2
4.38,0
4.39,4
4.4,2
4.41,2
4.42,0
4.43,2
4.44,2
4.45,4
4.46,3
4.47,0
4.48,1
4.49,5
4.5,2
4.51,4
4.52,5
4.53,5
4.54,2
4.55,0
4.56,5
4.57,1
4.58,4
4.59,2
5,2
5.01,4
5.02,4
5.03,8
5.04,3
5.05,0
5.06,3
5.07,5
5.08,3
5.09,1
5.1,5
5.11,1
5.12,2
5.13,4
5.14,0
5.15,6
5.16,5
5.17,4
5.18,4
5.19,1
5.2,4
5.21,2
5.22,1
5.23,2
5.24,0
5.25,2
5.26,5
5.27,5
5.28,2
5.29,3
5.3,2
5.31,6
5.32,6
5.33,6
5.34,6
5.35,0
5.36,1
5.37,2
5.38,0
5.39,5
5.4,1
5.41,4
5.42,3
5.43,6
5.44,8
5.45,4
5.46,4
5.47,0
5.48,5
5.49,3
5.5,3
5.51,0
5.52,0
5.53,3
5.54,0
5.55,1
5.56,0
5.57,3
5.58,6
5.59,6
6,8
6.01,4
6.02,6
6.03,5
6.04,5
6.05,0
6.06,0
6.07,1
6.08,8
6.09,0
6.1,2
6.11,9
6.12,4
6.13,3
6.14,10
6.15,9
6.16,3
6.17,6
6.18,6
6.19,8
6.2,0
6.21,0
6.22,7
6.23,3
6.24,2
6.25,0
6.26,7
6.27,5
6.28,12
6.29,5
6.3,5
6.31,6
6.32,2
6.33,10
6.34,7
6.35,0
6.36,1
6.37,1
6.38,1
6.39,2
6.4,1
6.41,2
6.42,6
6.43,6
6.44,10
6.45,4
6.46,14
6.47,11
6.48,11
6.49,8
6.5,2
6.51,0
6.52,0
6.53,0
6.54,16
6.55,0
6.56,10
6.57,3
6.58,4
6.59,11
7,7
7.01,11
7.02,14
7.03,10
7.04,11
7.05,0
7.06,0
7.07,1
7.08,0
7.09,5
7.1,7
7.11,1
7.12,4
7.13,14
7.14,15
7.15,12
7.16,13
7.17,11
7.18,6
7.19,4
7.2,0
7.21,1
7.22,0
7.23,0
7.24,1
7.25,6
7.26,3
7.27,8
7.28,3
7.29,13
7.3,10
7.31,12
7.32,12
7.33,17
7.34,11
7.35,0
7.36,0
7.37,0
7.38,1
7.39,4
7.4,3
7.41,1
7.42,0
7.43,4
7.44,12
7.45,8
7.46,16
7.47,6
7.48,8
7.49,7
7.5,1
7.51,0
7.52,0
7.53,0
7.54,1
7.55,14
7.56,0
7.57,4
7.58,13
7.59,10
8,8
8.01,12
8.02,2
8.03,5
8.04,7
8.05,0
8.06,1
8.07,0
8.08,2
8.09,1
8.1,4
8.11,0
8.12,11
8.13,4
8.14,15
8.15,8
8.16,6
8.17,10
8.18,8
8.19,9
8.2,0
8.21,0
8.22,0
8.23,1
8.24,1
8.25,0
8.26,2
8.27,11
8.28,16
8.29,11
8.3,7
8.31,11
8.32,8
8.33,6
8.34,12
8.35,0
8.36,0
8.37,5
8.38,0
8.39,0
8.4,0
8.41,1
8.42,10
8.43,12
8.44,12
8.45,12
8.46,10
8.47,14
8.48,12
8.49,6
8.5,0
8.51,0
8.52,0
8.53,3
8.54,4
8.55,8
8.56,6
8.57,9
8.58,9
8.59,12
9,8
9.01,14
9.02,11
9.03,15
9.04,0
9.05,1
9.06,0
9.07,4
9.08,1
9.09,0
9.1,5
9.11,7
9.12,0
9.13,8
9.14,11
9.15,16
9.16,16
9.17,12
9.18,9
9.19,10
9.2,0
9.21,0
9.22,0
9.23,2
9.24,1
9.25,0
9.26,1
9.27,9
9.28,6
9.29,10
9.3,8
9.31,14
9.32,10
9.33,13
9.34,0
9.35,1
9.36,3
9.37,0
9.38,0
9.39,3
9.4,2
9.41,1
9.42,2
9.43,12
9.44,16
9.45,12
9.46,14
9.47,14
9.48,0
9.49,7
9.5,0
9.51,1
9.52,1
9.53,2
9.54,0
9.55,1
9.56,4
9.57,5
9.58,12
9.59,12
10,0
10.01,7
10.02,0
10.03,8
10.04,5
10.05,2
10.06,11
10.07,6
10.08,14
10.09,10
10.1,21
10.11,8
10.12,2
10.13,7
10.14,4
10.15,10
10.16,6
10.17,6
10.18,2
10.19,30
10.2,16
10.21,31
10.22,20
10.23,19
10.24,17
10.25,15
10.26,10
10.27,0
10.28,2
10.29,10
10.3,7
10.31,6
10.32,4
10.33,16
10.34,22
10.35,18
10.36,29
10.37,16
10.38,30
10.39,26
10.4,23
10.41,12
10.42,5
10.43,4
10.44,6
10.45,6
10.46,9
10.47,5
10.48,6
10.49,26
10.5,26
10.51,33
10.52,25
10.53,19
10.54,17
10.55,9
10.56,11
10.57,9
10.58,4
10.59,4
11,3
11.01,5
11.02,3
11.03,16
11.04,34
11.05,35
11.06,24
11.07,24
11.08,20
11.09,15
11.1,7
11.11,12
11.12,10
11.13,8
11.14,3
11.15,6
11.16,6
11.17,3
11.18,7
11.19,25
11.2,25
11.21,11
11.22,22
11.23,12
11.24,13
11.25,22
11.26,6
11.27,1
11.28,5
11.29,6
11.3,8
11.31,5
11.32,10
11.33,8
11.34,18
11.35,25
11.36,27
11.37,23
11.38,21
11.39,8
11.4,19
11.41,18
11.42,6
11.43,5
11.44,5
11.45,5
11.46,0
11.47,8
11.48,17
11.49,16
11.5,11
11.51,28
11.52,20
11.53,10
11.54,21
11.55,14
11.56,12
11.57,5
11.58,6
11.59,5
12,11
12.01,12
12.02,12
12.03,16
12.04,21
12.05,16
12.06,5
12.07,3
12.08,15
12.09,15
12.1,3
12.11,0
12.12,0
12.13,14
12.14,16
12.15,1
12.16,9
12.17,0
12.18,4
12.19,5
12.2,6
12.21,0
12.22,0
12.23,2
12.24,8
12.25,2
12.26,17
12.27,12
12.28,5
12.29,13
12.3,7
12.31,9
12.32,8
12.33,11
12.34,14
12.35,8
12.36,0
12.37,0
12.38,0
12.39,0
12.4,1
12.41,0
12.42,2
12.43,2
12.44,15
12.45,10
12.46,12
12.47,0
12.48,10
12.49,0
12.5,6
12.51,7
12.52,7
12.53,10
12.54,0
12.55,10
12.56,2
12.57,6
12.58,11
12.59,13
13,12
13.01,10
13.02,6
13.03,1
13.04,0
13.05,1
13.06,0
13.07,1
13.08,0
